,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memory_size,accelerator_tdp
AMD;Radeon;HD,6870,AMDRadeon_HD_6870,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,151
AMD;Radeon;HD,6850,AMDRadeon_HD_6850,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,127
AMD;Radeon;HD,6770,AMDRadeon_HD_6770,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,108
AMD;Radeon;HD,6750,AMDRadeon_HD_6750,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,86
AMD;Radeon;HD,6670,AMDRadeon_HD_6670,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,66
AMD;Radeon;HD,6570,AMDRadeon_HD_6570,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,60
AMD;Radeon;HD,6450,AMDRadeon_HD_6450,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,18
AMD;Radeon,VII,AMDRadeon_VII,GPU,AMD,OpenCL_2_1,GCN 5.1,16GB,295
AMD;Radeon,550X,AMDRadeon_550X,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon,540X,AMDRadeon_540X,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon,630,AMDRadeon_630,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon,625,AMDRadeon_625,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,50
AMD;Radeon,620,AMDRadeon_620,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,50
AMD;Radeon,610,AMDRadeon_610,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,50
AMD;Radeon,540,AMDRadeon_540,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon,535,AMDRadeon_535,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,50
AMD;Radeon,530,AMDRadeon_530,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,50
AMD;Radeon,520,AMDRadeon_520,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,50
AMD;Instinct;MI50,32,AMDInstinct_MI50_32GB,GPU,AMD,OpenCL_2_1,Vega20,32GB,300
AMD;Instinct;MI50,16,AMDInstinct_MI50_16GB,GPU,AMD,OpenCL_2_1,Vega20,16GB,300
AMD;Instinct,MI8,AMDInstinct_MI8,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,175
AMD;Instinct,MI60,AMDInstinct_MI60,GPU,AMD,OpenCL_2_1,Vega20,32GB,300
AMD;Instinct,MI6,AMDInstinct_MI6,GPU,AMD,OpenCL_2_1,Polaris,16GB,150
AMD;Instinct,MI250X,AMDInstinct_MI250X,GPU,AMD,OpenCL_3_0,CDNA2,128GB,500
AMD;Instinct,MI250,AMDInstinct_MI250,GPU,AMD,OpenCL_3_0,CDNA2,128GB,500
AMD;Instinct,MI25,AMDInstinct_MI25,GPU,AMD,OpenCL_2_1,Vega,16GB,300
AMD;Instinct,MI210,AMDInstinct_MI210,GPU,AMD,OpenCL_3_0,CDNA2,64GB,300
AMD;Instinct,MI100,AMDInstinct_MI100,GPU,AMD,OpenCL_2_1,CDNA,32GB,300
AMD;FirePro;W9100,32,AMDFirePro_W9100_32GB,GPU,AMD,OpenCL_2_0,GCN_2_0,32GB,275
