,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;A4;7300B,PRO,2,3.8G,2,64-bit,unset,unset,AMD_A4_PRO_7300B,AMD,65,96KB,1MB,unset,1600M,DDR3
AMD;A4;Micro,6400T,4,1.6G,4,64-bit,unset,unset,AMD_A4_Micro_6400T,AMD,4.5,unset,2MB,unset,1333M,DDR3L
AMD;A6,5200,4,2.0G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A6_5200,AMD,25,256KB,2MB,unset,1600M,DDR3
AMD;A6,5200M,4,2.0G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A6_5200M,AMD,25,unset,2MB,unset,unset,unset
AMD;A6,5350M,2,2.9G,2,64-bit,unset,unset,AMD_A6_5350M,AMD,35,unset,2MB,unset,1600M,DDR3
AMD;A6,6310,4,2.4G,4,64-bit,unset,unset,AMD_A6_6310,AMD,15,unset,2MB,unset,1865M,DDR3L
AMD;A6,6400B,2,3.9G,2,64-bit,unset,unset,AMD_A6_6400B,AMD,65,96KB,1MB,unset,1866M,DDR3
AMD;A6,6400K,2,3.9G,2,64-bit,unset,unset,AMD_A6_6400K,AMD,65,96KB,1MB,unset,1866M,DDR3
AMD;A6,6420B,2,4.0G,2,64-bit,unset,unset,AMD_A6_6420B,AMD,65,96KB,1MB,unset,1866M,DDR3
AMD;A6,6420K,2,4.0G,2,64-bit,unset,unset,AMD_A6_6420K,AMD,65,96KB,1MB,unset,1866M,DDR3
AMD;A6,7000,2,2.2G,2,64-bit,unset,unset,AMD_A6_7000,AMD,17,unset,1MB,unset,unset,unset
AMD;A6,7310,4,2.0G,4,64-bit,unset,unset,AMD_A6_7310,AMD,15,unset,2MB,unset,1866M,DDR3L
AMD;A6,7400K,2,3.5G,2,64-bit,unset,unset,AMD_A6_7400K,AMD,65,128KB,1MB,unset,1866M,DDR3
AMD;A6,7470K,2,3.7G,2,64-bit,unset,unset,AMD_A6_7470K,AMD,65,256KB,1MB,unset,2133M,DDR3
AMD;A6,8500P,2,1.6G,2,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A6_8500P,AMD,15,unset,1MB,unset,unset,unset
AMD;A6;6;8500B;APU,PRO,2,1.6G,4,64-bit,MMX;SSE;SSE2;SSE3;SSE4a,unset,AMD_A6_PRO_6_8500B_APU,AMD,15,unset,1MB,unset,1600M,DDR3L
AMD;A6;6;8530B;APU,PRO,2,2.3G,2,64-bit,unset,unset,AMD_A6_PRO_6_8530B_APU,AMD,unset,unset,1MB,unset,1866M,DDR4
AMD;A6;6;8550B;APU,PRO,2,3.7G,2,64-bit,unset,unset,AMD_A6_PRO_6_8550B_APU,AMD,65,unset,1MB,unset,2133M,DDR3
AMD;A6;6;8570;APU,PRO,2,3.5G,2,64-bit,unset,unset,AMD_A6_PRO_6_8570_APU,AMD,65,unset,1MB,unset,2400M,DDR4
AMD;A6;6;8570E;APU,PRO,2,3.0G,2,64-bit,unset,unset,AMD_A6_PRO_6_8570E_APU,AMD,35,unset,1MB,unset,2400M,DDR4
